Part,Value,Device,Package,Description
X1,A0,ML6D,ML-6,
X2,A1,ML6D,ML-6,
X3,A2,ML6D,ML-6,
X4,A3,ML6D,ML-6,
X5,A,ML6D,ML-6,
X6,A0,ML6D,ML-6,
X7,A1,ML6D,ML-6,
X8,A2,ML6D,ML-6,
X9,A3,ML6D,ML-6,
X10,A,ML6D,ML-6,
