Part,Value,Device,Package,Description
JP1,A1-A2,JP4Q,JP4Q,
JP2,A2-A3,JP4Q,JP4Q,
JP3,J-A3,JP3QE,JP3Q,
JP4,B1-B2,JP4Q,JP4Q,
JP5,B2-B3,JP4Q,JP4Q,
JP6,J-B3,JP3QE,JP3Q,
X1,A1,ML6,ML-6,
X2,A2,ML6,ML-6,
X3,A3,ML6,ML-6,
X4,B1,ML6,ML-6,
X5,B2,ML6,ML-6,
X6,B3,ML6,ML-6,
