Part,Value,Device,Package,Description
P1,,LED3MM,LED3MM,LED
P2,,LED3MM,LED3MM,LED
P3,,LED3MM,LED3MM,LED
P4,,LED3MM,LED3MM,LED
P5,,LED3MM,LED3MM,LED
P6,,LED3MM,LED3MM,LED
P7,,LED3MM,LED3MM,LED
P8,,LED3MM,LED3MM,LED
RN1,220R,G08R,SIL9,SIL RESISTOR
X1,In B,ML6D,ML-6,
X2,Out B,ML6D,ML-6,
X3,In A,ML6D,ML-6,
X4,Out A,ML6D,ML-6,
