Part,Value,Device,Package,Description
JP1,A 3.3V/5V,JP2E,JP2,JUMPER
JP2,PI 3.3V/5V,JP2E,JP2,JUMPER
JP3,RTX,JP3Q,JP3Q,
X1,A,ML6D,ML-6,
X2,B,ML6D,ML-6,
X3,C,ML6D,ML-6,
X4,D,ML6D,ML-6,
X6,ARDUINO_SHIELDNO_SILK,ARDUINO_SHIELDNO_SILK,DUEMILANOVE_VIAS,Arduino shield footprint
X7,RASPBERRYPI-B+-GPIO,RASPBERRYPI-B+-GPIO,2X20-SHROUDED,Raspberry Pi B+ GPIO Header
