Part,Value,Device,Package,Description
JP1,A,JP4Q,JP4Q,
JP2,B,JP4Q,JP4Q,
JP3,USB EN,JP1E,JP1,JUMPER
R1,68R 0.6W,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
RN1,10k,G04R,SIL5,SIL RESISTOR
RN2,10k,G04R,SIL5,SIL RESISTOR
X1,Out B,ML6D,ML-6,
X2,Out B,ML6D,ML-6,
X3,Out A,ML6D,ML-6,
X4,Out A,ML6D,ML-6,
X5,USB-MB-H,USB-MB-H,USB-MB-H,USB Connectors
X6,USB-MICROB,USB-MICROB,USB-MICROB,USB Connectors
